Algorithms: Standard Zielonka / Warsaw QPT Zielonka / Liverpool QPT Zielonka
Runnning time is in seconds
For Zielonka algorithms we also output the number of iterations
family-qpt-10.pg;0.000036;1;0.000038;1;0.000040;4
family-qpt-11.pg;0.000036;1;0.000036;1;0.000042;4
family-qpt-12.pg;0.000037;1;0.000038;1;0.000041;4
family-qpt-13.pg;0.000038;1;0.000038;1;0.000043;4
family-qpt-14.pg;0.000036;1;0.000037;1;0.000042;4
family-qpt-15.pg;0.000038;1;0.000037;1;0.000046;4
family-qpt-16.pg;0.000037;1;0.000038;1;0.000045;5
family-qpt-17.pg;0.000043;1;0.000038;1;0.000050;5
family-qpt-18.pg;0.000038;1;0.000038;1;0.000046;5
family-qpt-19.pg;0.000039;1;0.000040;1;0.000047;5
family-qpt-20.pg;0.000038;1;0.000037;1;0.000052;5
family-qpt-21.pg;0.000039;1;0.000040;1;0.000047;5
family-qpt-22.pg;0.000039;1;0.000039;1;0.000047;5
family-qpt-23.pg;0.000037;1;0.000041;1;0.000053;5
family-qpt-24.pg;0.000038;1;0.000040;1;0.000048;5
family-qpt-25.pg;0.000039;1;0.000039;1;0.000048;5
family-qpt-26.pg;0.000040;1;0.000039;1;0.000055;5
family-qpt-27.pg;0.000040;1;0.000040;1;0.000049;5
family-qpt-28.pg;0.000047;1;0.000042;1;0.000052;5
family-qpt-29.pg;0.000040;1;0.000039;1;0.000050;5
family-qpt-30.pg;0.000041;1;0.000044;1;0.000052;5
family-qpt-31.pg;0.000041;1;0.000043;1;0.000058;5
family-qpt-32.pg;0.000050;1;0.000054;1;0.000061;6
family-qpt-33.pg;0.000041;1;0.000047;1;0.000056;6
family-qpt-34.pg;0.000047;1;0.000043;1;0.000056;6
family-qpt-35.pg;0.000045;1;0.000041;1;0.000055;6
family-qpt-36.pg;0.000046;1;0.000041;1;0.000069;6
family-qpt-37.pg;0.000040;1;0.000041;1;0.000057;6
family-qpt-38.pg;0.000041;1;0.000047;1;0.000056;6
family-qpt-39.pg;0.000042;1;0.000042;1;0.000057;6
family-rr-2.pg;0.000040;5;0.000042;8;0.000054;21
family-rr-3.pg;0.000051;16;0.000071;41;0.000082;54
family-rr-4.pg;0.000068;27;0.000077;43;0.000165;150
family-rr-5.pg;0.000095;58;0.000213;222;0.000263;268
family-rr-6.pg;0.000134;98;0.000406;477;0.000439;458
family-rr-7.pg;0.000215;186;0.000825;1028;0.000654;699
family-rr-8.pg;0.000362;312;0.000961;1199;0.001459;1565
family-rr-9.pg;0.000592;559;0.003193;4255;0.002076;2252
family-rr-10.pg;0.000915;930;0.005534;7085;0.002757;3662
family-rr-11.pg;0.001217;1613;0.008551;12672;0.003821;5023
family-rr-12.pg;0.001969;2665;0.012070;18456;0.005594;7245
family-rr-13.pg;0.003311;4529;0.017497;26634;0.005521;9598
